14c0a771-ab0c-42ce-b581-ee446a424aa8,Pancreatic Adenocarcinoma
d771bf51-85a9-4fad-b089-a18445218938,Head and Neck Squamous Cell Carcinoma
333d1171-8f9f-441e-887c-3b8d2c4c8b85,Prostate Adenocarcinoma
f672209c-c354-4a14-9725-6c448658c400,Uveal Melanoma
97b7b554-a4f7-481a-a573-ab40bc626848,Prostate Adenocarcinoma
9dd8b654-10ff-4efd-8c05-0f7cf133a9c0,Cervical Squamous Cell Carcinoma
24097293-94a2-4bd0-ac8a-3162814e7559,Liver Hepatocellular Carcinoma
c6ab59aa-45ed-4988-83a8-b88389e4e374,Thymoma
59c6e917-f8c1-41a8-8b9c-ff82a2debf20,Stomach Adenocarcinoma
47ceeb27-8338-44b8-ba20-0716925c6c13,Bladder Urothelial Carcinoma
25f7f1f0-882e-49b6-92a0-cc6493f26290,Sarcoma
c4936436-56ea-4add-95cf-c28ff74a734a,Stomach Adenocarcinoma
b8cd06e8-e492-448e-9ce6-b94e46e73d08,Kidney Chromophobe
b5fbd62e-ceef-45ae-a3b2-b8ed9c32d29d,Sarcoma
4ed08871-1ee0-460d-961f-85d4237a4230,Esophageal Carcinoma
8861e983-8d8a-48d6-8bb4-a8cdcada95a9,Testicular Germ Cell Tumors
f7eb8da5-0e9f-438d-bd3c-6b8ea4461bb2,Prostate Adenocarcinoma
c18c882f-c672-414b-adf8-67d7db3764e4,Stomach Adenocarcinoma
02af047b-369c-4085-8759-6cab9ac84400,Kidney Renal Clear Cell Carcinoma
f624a95f-0488-47ad-9ac2-b3959680fea2,Colon Adenocarcinoma
1f4cda81-464b-400e-9ea9-9678bc4adaa4,Pheochromocytoma and Paraganglioma
6b706b5d-14fa-4867-a814-7221cc19e863,Thyroid Carcinoma
796b5c75-582a-44f7-bcbc-903e4ce6bf9e,Skin Cutaneous Melanoma
061794ef-f758-4c40-8583-39d52b5045e8,Lung Squamous Cell Carcinoma
4ba80dcf-e898-47f9-aabb-f864311e00d4,Pheochromocytoma and Paraganglioma
15e37b67-580f-40d5-acc4-e42ae6859a79,Head and Neck Squamous Cell Carcinoma
ceb6d234-79e8-4b93-9b64-82000ed312f8,Brain Lower Grade Glioma
8fe30635-f3c7-44d6-987b-8c9b271a289b,Pancreatic Adenocarcinoma
bfe7ebc4-0db9-408c-bdf2-1f0cdfb0ddc4,Thyroid Carcinoma
95db1024-ba27-40f1-8829-a60ed76d6b9c,Kidney Renal Clear Cell Carcinoma
fb71cc1d-ae45-4749-aa86-8bfea9b9e4a5,Stomach Adenocarcinoma
126328f1-5990-474a-84ca-1e51a09ecfab,Bladder Urothelial Carcinoma
f4ee9b2b-123c-4b4f-9863-52f3a2bc0da2,Pancreatic Adenocarcinoma
93bd4878-93ab-449d-9e5c-b6cb1724a245,Lung Adenocarcinoma
85e2037f-7a5f-40d0-aeb8-9f7fd44685ed,Esophageal Carcinoma
2a3c963c-de4c-4197-a38a-4e1deabfbec3,Skin Cutaneous Melanoma
